ID,name,reel_link
112,Mulbagal Dosa Corner,https://www.instagram.com/reel/C27HXx1PdP7/?igsh=MTloamsyNTZwdWtseA==
113,Hara Fine Dine,https://www.instagram.com/reel/C3g4z-XvjOV/?igsh=cHdmZ2Q5amJlZTNh
114,Balaji Chat Corner,https://www.instagram.com/reel/C3h37HTvzkR/?igsh=MWhoa2d5emQyaTBrdw==
115,Hotel Sagar,https://www.instagram.com/reel/C3alQeXvHej/?igsh=YW00cXA1b3c2bzcz
116,Ice Thunder,https://www.instagram.com/reel/C3h-RRtvhqJ/?igsh=MTcyMXlwZGxta2QwYQ==
117,Hallimane,https://www.instagram.com/reel/C2PbE7iruyR/?igsh=MWRkOGRxeWJmYm02dg==
118,Sri Raghavendra Stores,https://www.instagram.com/reel/C2Q_1TcSNLG/?igsh=MXc5YnQ3bGFmanJqdw==
119,Aunty's hotel,https://www.instagram.com/reel/C3cYsNUvRoQ/?igsh=M2M0bXIwaGg3djd5
120,SLV Coffee Bar,https://www.instagram.com/reel/C3P2dwoL36I/?igsh=ZTJxdmJ0cjMybnBu
121,Dose Adda,https://www.instagram.com/reel/C3AYmA_xj6E/?igsh=MTlkZzQ3M3YxbTBoNA==
122,Chulha Chauki Da Dhaba,https://www.instagram.com/reel/C3FA7HLMc74/?igsh=aW8wdzBiNWZ0NXE2
123,Meghana Foods Jayanagar,https://www.instagram.com/reel/C1WySiKMbPD/?igsh=NGcwb3FncW4yZ2E2
124,Vidyarthi Bhavan,https://www.instagram.com/reel/C0vM8MEv9aH/?igsh=a3J1dmt6Ym1uMHAx
125,Food Stories,https://www.instagram.com/reel/C0eJcWZLnB4/?igsh=a2UzbnB1cGU1b3ls
126,Sadguru Chinese Food Corner,https://www.instagram.com/reel/C2IC-kvvKYw/?igsh=Nmh3b2ZxMzU0ZDh2
127,Olive Street Food Café,https://www.instagram.com/reel/C3CEyAiIPZF/?igsh=cWQ0N3drdDcxYjdl
128,Mr & Ms Corn,https://www.instagram.com/reel/C1wnUTJLKZE/?igsh=ZXpldHpienF4Mzk5
129,Patiala NH 44,https://www.instagram.com/reel/C3He128PHUl/?igsh=dWN5NDJ1ZHY4bHUy
130,Fries and Burgers,https://www.instagram.com/reel/C0tnMzQP2WR/?igsh=MjY1b2hmaHBubHRq
131,Lakeview Milk Bar - Since 1930,https://www.instagram.com/reel/C2NAX3avQEE/?igsh=YW0yNTJhcThucWQx
132,Amul Ice Cream Cafe aand Retail Store,https://www.instagram.com/reel/C1wk5LMLPZ8/?igsh=ZnlkaW95ODFxaW5z
133,Saffron Express,https://www.instagram.com/reel/C3plFzZvrle/?igsh=dW5zeGc4bXcwaXlj
134,2 Rabbits Bakes,https://www.instagram.com/reel/C3fU0P1Pbbb/?igsh=NGkyZ2JyOGs1MzFv
135,"Pizza-Man, BTM",https://www.instagram.com/reel/C0T1NjuPO-L/?igsh=MWExdWFiYmcwYzM3aw==
136,Sree Ganesha Chats And Foods,https://www.instagram.com/reel/C0_nz04vQr6/?igsh=MXNkMGdoYzdyN2l4dA==
137,Jagli Tindi,https://www.instagram.com/reel/Cz6YYOMPDkJ/?igsh=MXQ2OGh3eXBhcHRtdA==
138,Idli Hub,https://www.instagram.com/reel/C1ZUAN9vEfU/?igsh=MThydG5wYmI4NzV1MQ==
